op_carrier_fl_num,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,origin_state_nm,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,origin,carrier_delay,dest,weather_delay,nas_delay,security_delay,late_aircraft_delay
751,"Charlotte, NC","Seattle, WA",,2024,1,4,4,2024/1/4,AA,North Carolina,Washington,1641,1656,15,13,1709,1912,9,1940,1921,-19,0,0,359,325,303,2279,CLT,0,SEA,0,0,0,0
3909,"Fort Wayne, IN","Dallas/Fort Worth, TX",,2024,7,22,1,2024/7/22,MQ,Indiana,Texas,1214,1207,-7,12,1219,1319,17,1346,1336,-10,0,0,152,149,120,859,FWA,0,DFW,0,0,0,0
700,"Seattle, WA","Phoenix, AZ",,2024,3,3,7,2024/3/3,AS,Washington,Arizona,1148,1201,13,25,1226,1546,4,1542,1550,8,0,0,174,169,140,1107,SEA,0,PHX,0,0,0,0
2878,"Miami, FL","Washington, DC",,2024,10,15,2,2024/10/15,AA,Florida,Virginia,803,758,-5,11,809,1003,3,1037,1006,-31,0,0,154,128,114,919,MIA,0,DCA,0,0,0,0
2720,"West Palm Beach/Palm Beach, FL","Philadelphia, PA",,2024,11,22,5,2024/11/22,F9,Florida,Pennsylvania,1253,1247,-6,15,1302,1513,12,1535,1525,-10,0,0,162,158,131,951,PBI,0,PHL,0,0,0,0
2093,"San Francisco, CA","Dallas/Fort Worth, TX",,2024,2,26,1,2024/2/26,AA,California,Texas,1019,1015,-4,12,1027,1501,11,1546,1512,-34,0,0,207,177,154,1464,SFO,0,DFW,0,0,0,0
1190,"San Diego, CA","New York, NY",,2024,3,18,1,2024/3/18,B6,California,New York,2115,2128,13,21,2149,559,12,534,611,37,0,0,319,343,310,2446,SAN,13,JFK,0,24,0,0
4724,"Bakersfield, CA","San Francisco, CA",,2024,11,16,6,2024/11/16,OO,California,California,615,607,-8,10,617,702,5,730,707,-23,0,0,75,60,45,238,BFL,0,SFO,0,0,0,0
2485,"New York, NY","Chicago, IL",,2024,10,13,7,2024/10/13,UA,New York,Illinois,1634,1630,-4,38,1708,1815,28,1810,1843,33,0,0,156,193,127,733,LGA,0,ORD,0,33,0,0
894,"Sacramento, CA","Long Beach, CA",,2024,10,14,1,2024/10/14,WN,California,California,915,914,-1,10,924,1026,5,1040,1031,-9,0,0,85,77,62,387,SMF,0,LGB,0,0,0,0
2376,"Sacramento, CA","Salt Lake City, UT",,2024,1,1,1,2024/1/1,DL,California,Utah,1320,1317,-3,15,1332,1548,3,1604,1551,-13,0,0,104,94,76,532,SMF,0,SLC,0,0,0,0
61,"Juneau, AK","Yakutat, AK",,2024,11,21,4,2024/11/21,AS,Alaska,Alaska,1008,1003,-5,9,1012,1047,3,1110,1050,-20,0,0,62,47,35,198,JNU,0,YAK,0,0,0,0
124,"Raleigh/Durham, NC","Washington, DC",,2024,5,17,5,2024/5/17,AA,North Carolina,Virginia,655,659,4,13,712,752,6,759,758,-1,0,0,64,59,40,227,RDU,0,DCA,0,0,0,0
2682,"Ontario, CA","Denver, CO",,2024,4,21,7,2024/4/21,UA,California,Colorado,1336,1336,0,14,1350,1638,6,1656,1644,-12,0,0,140,128,108,819,ONT,0,DEN,0,0,0,0
4052,"Atlanta, GA","Dothan, AL",,2024,8,31,6,2024/8/31,OO,Georgia,Alabama,1250,1244,-6,14,1258,1229,3,1247,1232,-15,0,0,57,48,31,170,ATL,0,DHN,0,0,0,0
468,"Dallas/Fort Worth, TX","Las Vegas, NV",,2024,4,22,1,2024/4/22,AA,Texas,Nevada,1656,1726,30,19,1745,1807,7,1756,1814,18,0,0,180,168,142,1055,DFW,0,LAS,0,0,0,18
3790,"Spokane, WA","Seattle, WA",,2024,8,28,3,2024/8/28,OO,Washington,Washington,715,706,-9,27,733,826,8,834,834,0,0,0,79,88,53,224,GEG,0,SEA,0,0,0,0
2656,"Albany, NY","Chicago, IL",,2024,9,19,4,2024/9/19,UA,New York,Illinois,1655,1648,-7,34,1722,1803,41,1820,1844,24,0,0,145,176,101,723,ALB,0,ORD,0,24,0,0
187,"Dallas/Fort Worth, TX","Los Angeles, CA",,2024,6,26,3,2024/6/26,AA,Texas,California,1833,1833,0,21,1854,1927,8,1950,1935,-15,0,0,197,182,153,1235,DFW,0,LAX,0,0,0,0
466,"Nashville, TN","Chicago, IL",,2024,1,29,1,2024/1/29,UA,Tennessee,Illinois,1650,1636,-14,16,1652,1802,21,1841,1823,-18,0,0,111,107,70,409,BNA,0,ORD,0,0,0,0
1375,"Phoenix, AZ","Newark, NJ",,2024,9,22,7,2024/9/22,UA,Arizona,New Jersey,2359,20,21,17,37,727,11,747,738,-9,0,0,288,258,230,2133,PHX,0,EWR,0,0,0,0
4158,"San Francisco, CA","Las Vegas, NV",,2024,12,7,6,2024/12/7,F9,California,Nevada,1053,1043,-10,14,1057,1212,12,1234,1224,-10,0,0,101,101,75,414,SFO,0,LAS,0,0,0,0
950,"Memphis, TN","Chicago, IL",,2024,5,30,4,2024/5/30,WN,Tennessee,Illinois,1655,2010,195,9,2019,2128,2,1830,2130,180,0,0,95,80,69,480,MEM,4,MDW,0,0,0,176
4777,"Fort Lauderdale, FL","Columbus, OH",,2024,3,16,6,2024/3/16,WN,Florida,Ohio,2050,2113,23,12,2125,2343,5,2330,2348,18,0,0,160,155,138,973,FLL,2,CMH,0,0,0,16
3706,"Abilene, TX","Dallas/Fort Worth, TX",,2024,11,20,3,2024/11/20,MQ,Texas,Texas,815,805,-10,10,815,849,15,912,904,-8,0,0,57,59,34,158,ABI,0,DFW,0,0,0,0
986,"Salt Lake City, UT","Atlanta, GA",,2024,3,5,2,2024/3/5,DL,Utah,Georgia,1740,1739,-1,11,1750,2253,9,2317,2302,-15,0,0,217,203,183,1590,SLC,0,ATL,0,0,0,0
4653,"Trenton, NJ","Tampa, FL",,2024,1,21,7,2024/1/21,F9,New Jersey,Florida,1718,1815,57,21,1836,2046,7,2014,2053,39,0,0,176,158,130,955,TTN,0,TPA,0,0,0,39
1569,"Phoenix, AZ","Columbus, OH",,2024,5,20,1,2024/5/20,AA,Arizona,Ohio,858,902,4,21,923,1527,7,1545,1534,-11,0,0,227,212,184,1670,PHX,0,CMH,0,0,0,0
2730,"Indianapolis, IN","Denver, CO",,2024,8,7,3,2024/8/7,UA,Indiana,Colorado,1545,1545,0,18,1603,1614,6,1637,1620,-17,0,0,172,155,131,977,IND,0,DEN,0,0,0,0
1039,"Portland, ME","Raleigh/Durham, NC",,2024,7,4,4,2024/7/4,F9,Maine,North Carolina,1014,956,-18,14,1010,1144,7,1223,1151,-32,0,0,129,115,94,700,PWM,0,RDU,0,0,0,0
6193,"Dallas/Fort Worth, TX","Waco, TX",,2024,9,14,6,2024/9/14,OO,Texas,Texas,905,900,-5,22,922,942,4,954,946,-8,0,0,49,46,20,89,DFW,0,ACT,0,0,0,0
5307,"Denver, CO","Midland/Odessa, TX",,2024,6,16,7,2024/6/16,OO,Colorado,Texas,1900,1850,-10,33,1923,2148,6,2152,2154,2,0,0,112,124,85,563,DEN,0,MAF,0,0,0,0
1339,"Chicago, IL","Kalispell, MT",,2024,10,3,4,2024/10/3,AA,Illinois,Montana,813,809,-4,12,821,1025,3,1051,1028,-23,0,0,218,199,184,1352,ORD,0,FCA,0,0,0,0
1269,"Chicago, IL","Jacksonville, FL",,2024,4,30,2,2024/4/30,UA,Illinois,Florida,1948,1944,-4,18,2002,2249,5,2315,2254,-21,0,0,147,130,107,864,ORD,0,JAX,0,0,0,0
2247,"Salt Lake City, UT","Chicago, IL",,2024,7,27,6,2024/7/27,DL,Utah,Illinois,830,837,7,17,854,1230,18,1240,1248,8,0,0,190,191,156,1250,SLC,0,ORD,0,0,0,0
1079,"Sacramento, CA","Salt Lake City, UT",,2024,2,18,7,2024/2/18,DL,California,Utah,530,526,-4,13,539,751,4,810,755,-15,0,0,100,89,72,532,SMF,0,SLC,0,0,0,0
1,"New York, NY","Los Angeles, CA",,2024,2,5,1,2024/2/5,AA,New York,California,700,737,37,18,755,1042,18,1025,1100,35,0,0,385,383,347,2475,JFK,35,LAX,0,0,0,0
3988,"Louisville, KY","Detroit, MI",,2024,7,3,3,2024/7/3,OO,Kentucky,Michigan,1027,1019,-8,15,1034,1128,8,1145,1136,-9,0,0,78,77,54,306,SDF,0,DTW,0,0,0,0
5676,"San Francisco, CA","Spokane, WA",,2024,8,16,5,2024/8/16,OO,California,Washington,1340,1332,-8,19,1351,1526,5,1552,1531,-21,0,0,132,119,95,733,SFO,0,GEG,0,0,0,0
2045,"San Francisco, CA","Miami, FL",,2024,5,27,1,2024/5/27,AA,California,Florida,1307,1302,-5,25,1327,2124,15,2150,2139,-11,0,0,343,337,297,2585,SFO,0,MIA,0,0,0,0
3669,"Jackson/Vicksburg, MS","Dallas/Fort Worth, TX",,2024,7,13,6,2024/7/13,MQ,Mississippi,Texas,854,850,-4,10,900,1007,16,1035,1023,-12,0,0,101,93,67,408,JAN,0,DFW,0,0,0,0
1923,"Denver, CO","Bozeman, MT",,2024,10,21,1,2024/10/21,UA,Colorado,Montana,1340,1332,-8,15,1347,1505,4,1523,1509,-14,0,0,103,97,78,524,DEN,0,BZN,0,0,0,0
2221,"San Diego, CA","Washington, DC",,2024,5,23,4,2024/5/23,UA,California,Virginia,825,819,-6,22,841,1602,11,1615,1613,-2,0,0,290,294,261,2253,SAN,0,IAD,0,0,0,0
5075,"Charlotte, NC","Dayton, OH",,2024,12,29,7,2024/12/29,OH,North Carolina,Ohio,1822,1918,56,24,1942,2040,6,2004,2046,42,0,0,102,88,58,370,CLT,0,DAY,11,0,0,31
456,"Denver, CO","Miami, FL",,2024,1,2,2,2024/1/2,UA,Colorado,Florida,1355,1352,-3,16,1408,1928,21,1951,1949,-2,0,0,236,237,200,1709,DEN,0,MIA,0,0,0,0
301,"Buffalo, NY","New York, NY",,2024,12,9,1,2024/12/9,B6,New York,New York,1942,1955,13,16,2011,2106,4,2111,2110,-1,0,0,89,75,55,301,BUF,0,JFK,0,0,0,0
1891,"Washington, DC","Newark, NJ",,2024,10,29,2,2024/10/29,UA,Virginia,New Jersey,600,605,5,16,621,707,11,714,718,4,0,0,74,73,46,212,IAD,0,EWR,0,0,0,0
5097,"New York, NY","Raleigh/Durham, NC",,2024,9,16,1,2024/9/16,9E,New York,North Carolina,750,834,44,20,854,1004,7,939,1011,32,0,0,109,97,70,427,JFK,32,RDU,0,0,0,0
3066,"Atlanta, GA","Orlando, FL",,2024,1,25,4,2024/1/25,NK,Georgia,Florida,640,640,0,9,649,753,8,814,801,-13,0,0,94,81,64,404,ATL,0,MCO,0,0,0,0
3840,"Phoenix, AZ","Nashville, TN",,2024,9,2,1,2024/9/2,WN,Arizona,Tennessee,1720,1748,28,12,1800,2247,5,2240,2252,12,0,0,200,184,167,1449,PHX,0,BNA,0,0,0,0
1857,"Kansas City, MO","Orlando, FL",,2024,10,6,7,2024/10/6,NK,Missouri,Florida,1949,1945,-4,10,1955,2312,7,2337,2319,-18,0,0,168,154,137,1072,MCI,0,MCO,0,0,0,0
968,"Atlanta, GA","Detroit, MI",,2024,1,9,2,2024/1/9,NK,Georgia,Michigan,1004,1044,40,11,1055,1209,9,1158,1218,20,0,0,114,94,74,594,ATL,0,DTW,20,0,0,0
2518,"Las Vegas, NV","San Jose, CA",,2024,4,24,3,2024/4/24,NK,Nevada,California,713,708,-5,22,730,830,3,842,833,-9,0,0,89,85,60,386,LAS,0,SJC,0,0,0,0
3756,"Salt Lake City, UT","Bend/Redmond, OR",,2024,10,17,4,2024/10/17,OO,Utah,Oregon,2259,2259,0,17,2316,2335,3,2344,2338,-6,0,0,105,99,79,525,SLC,0,RDM,0,0,0,0
145,"Kahului, HI","Honolulu, HI",,2024,10,24,4,2024/10/24,HA,Hawaii,Hawaii,800,755,-5,9,804,827,6,840,833,-7,0,0,40,38,23,100,OGG,0,HNL,0,0,0,0
1422,"Dallas/Fort Worth, TX","Charleston, SC",,2024,7,16,2,2024/7/16,AA,Texas,South Carolina,2043,2212,89,18,2230,139,4,15,143,88,0,0,152,151,129,987,DFW,0,CHS,0,0,0,88
5143,"Harrisburg, PA","Charlotte, NC",,2024,8,1,4,2024/8/1,OH,Pennsylvania,North Carolina,2012,2001,-11,16,2017,2125,7,2150,2132,-18,0,0,98,91,68,413,MDT,0,CLT,0,0,0,0
461,"Orlando, FL","Charlotte, NC",,2024,1,9,2,2024/1/9,AA,Florida,North Carolina,612,642,30,13,655,820,5,804,825,21,0,0,112,103,85,468,MCO,21,CLT,0,0,0,0
1295,"Portland, OR","San Francisco, CA",,2024,5,28,2,2024/5/28,AS,Oregon,California,1950,2019,29,16,2035,2205,4,2135,2209,34,0,0,105,110,90,550,PDX,0,SFO,0,34,0,0
661,"Santa Ana, CA","Atlanta, GA",,2024,12,31,2,2024/12/31,DL,California,Georgia,1250,1246,-4,9,1255,1914,4,1958,1918,-40,0,0,248,212,199,1919,SNA,0,ATL,0,0,0,0
1015,"Durango, CO","Denver, CO",,2024,7,30,2,2024/7/30,UA,Colorado,Colorado,700,653,-7,13,706,756,9,824,805,-19,0,0,84,72,50,251,DRO,0,DEN,0,0,0,0
668,"Orlando, FL","Dallas/Fort Worth, TX",,2024,12,26,4,2024/12/26,AA,Florida,Texas,646,641,-5,20,701,832,15,854,847,-7,0,0,188,186,151,985,MCO,0,DFW,0,0,0,0
3618,"Chicago, IL","St. Louis, MO",,2024,4,28,7,2024/4/28,YX,Illinois,Missouri,1257,1249,-8,28,1317,1419,6,1423,1425,2,0,0,86,96,62,258,ORD,0,STL,0,0,0,0
3492,"Syracuse, NY","Newark, NJ",,2024,11,22,5,2024/11/22,YX,New York,New Jersey,1230,1213,-17,64,1317,1400,5,1401,1405,4,0,0,91,112,43,195,SYR,0,EWR,0,0,0,0
1454,"St. Louis, MO","Minneapolis, MN",,2024,5,7,2,2024/5/7,DL,Missouri,Minnesota,1737,1729,-8,13,1742,1849,5,1915,1854,-21,0,0,98,85,67,448,STL,0,MSP,0,0,0,0
269,"Burbank, CA","Las Vegas, NV",,2024,10,31,4,2024/10/31,WN,California,Nevada,1410,1406,-4,23,1429,1512,6,1525,1518,-7,0,0,75,72,43,223,BUR,0,LAS,0,0,0,0
5225,"Atlanta, GA","Augusta, GA",,2024,3,28,4,2024/3/28,9E,Georgia,Georgia,1110,1104,-6,31,1135,1209,3,1210,1212,2,0,0,60,68,34,143,ATL,0,AGS,0,0,0,0
193,"Fort Lauderdale, FL","Baltimore, MD",,2024,1,1,1,2024/1/1,WN,Florida,Maryland,540,538,-2,11,549,749,4,810,753,-17,0,0,150,135,120,925,FLL,0,BWI,0,0,0,0
5394,"Dayton, OH","Charlotte, NC",,2024,6,3,1,2024/6/3,OH,Ohio,North Carolina,840,828,-12,16,844,944,16,1025,1000,-25,0,0,105,92,60,370,DAY,0,CLT,0,0,0,0
2661,"Ontario, CA","Phoenix, AZ",,2024,4,30,2,2024/4/30,AA,California,Arizona,1555,1546,-9,21,1607,1702,15,1709,1717,8,0,0,74,91,55,325,ONT,0,PHX,0,0,0,0
5529,"Charlotte, NC","Jackson/Vicksburg, MS",,2024,10,16,3,2024/10/16,OH,North Carolina,Mississippi,1716,1708,-8,29,1737,1757,8,1821,1805,-16,0,0,125,117,80,562,CLT,0,JAN,0,0,0,0
5741,"Nashville, TN","Chicago, IL",,2024,12,1,7,2024/12/1,OO,Tennessee,Illinois,800,755,-5,12,807,926,23,953,949,-4,0,0,113,114,79,409,BNA,0,ORD,0,0,0,0
5319,"Spokane, WA","San Francisco, CA",,2024,4,1,1,2024/4/1,OO,Washington,California,528,520,-8,11,531,706,6,759,712,-47,0,0,151,112,95,733,GEG,0,SFO,0,0,0,0
4237,"Las Vegas, NV","Seattle, WA",,2024,11,8,5,2024/11/8,WN,Nevada,Washington,935,937,2,17,954,1205,11,1225,1216,-9,0,0,170,159,131,867,LAS,0,SEA,0,0,0,0
397,"New York, NY","Charlotte, NC",,2024,8,26,1,2024/8/26,AA,New York,North Carolina,1435,1453,18,36,1529,1648,30,1640,1718,38,0,0,125,145,79,541,JFK,18,CLT,0,20,0,0
5345,"Dayton, OH","Atlanta, GA",,2024,12,23,1,2024/12/23,9E,Ohio,Georgia,1937,2038,61,15,2053,2206,7,2134,2213,39,0,0,117,95,73,432,DAY,0,ATL,0,0,0,39
1793,"Chicago, IL","Omaha, NE",,2024,12,18,3,2024/12/18,UA,Illinois,Nebraska,845,843,-2,16,859,1005,3,1023,1008,-15,0,0,98,85,66,416,ORD,0,OMA,0,0,0,0
5660,"New York, NY","Portland, ME",,2024,4,25,4,2024/4/25,YX,New York,Maine,955,1007,12,26,1033,1123,4,1129,1127,-2,0,0,94,80,50,269,LGA,0,PWM,0,0,0,0
818,"Chicago, IL","Miami, FL",,2024,3,25,1,2024/3/25,AA,Illinois,Florida,1540,1612,32,15,1627,2008,8,1949,2016,27,0,0,189,184,161,1197,ORD,3,MIA,0,0,0,24
2158,"Ontario, CA","San Jose, CA",,2024,4,6,6,2024/4/6,WN,California,California,1235,1232,-3,9,1241,1337,4,1350,1341,-9,0,0,75,69,56,333,ONT,0,SJC,0,0,0,0
1966,"Austin, TX","Houston, TX",,2024,10,3,4,2024/10/3,UA,Texas,Texas,515,505,-10,12,517,545,5,611,550,-21,0,0,56,45,28,140,AUS,0,IAH,0,0,0,0
6289,"Phoenix, AZ","Palm Springs, CA",,2024,7,2,2,2024/7/2,OO,Arizona,California,1020,1015,-5,29,1044,1128,6,1135,1134,-1,0,0,75,79,44,261,PHX,0,PSP,0,0,0,0
5170,"Washington, DC","Asheville, NC",,2024,1,6,6,2024/1/6,OH,Virginia,North Carolina,1447,1441,-6,29,1510,1621,3,1620,1624,4,0,0,93,103,71,384,DCA,0,AVL,0,0,0,0
3738,"Washington, DC","Detroit, MI",,2024,7,27,6,2024/7/27,OO,Virginia,Michigan,610,946,216,8,954,1054,6,740,1100,200,0,0,90,74,60,383,IAD,200,DTW,0,0,0,0
2131,"New York, NY","Miami, FL",,2024,9,20,5,2024/9/20,AA,New York,Florida,706,659,-7,25,724,948,7,1022,955,-27,0,0,196,176,144,1089,JFK,0,MIA,0,0,0,0
2147,"Atlanta, GA","Providence, RI",,2024,6,8,6,2024/6/8,DL,Georgia,Rhode Island,929,941,12,14,955,1153,5,1153,1158,5,0,0,144,137,118,903,ATL,0,PVD,0,0,0,0
1826,"St. Louis, MO","Fort Lauderdale, FL",,2024,4,8,1,2024/4/8,WN,Missouri,Florida,2000,2001,1,14,2015,2330,7,2335,2337,2,0,0,155,156,135,1057,STL,0,FLL,0,0,0,0
5961,"San Francisco, CA","Ontario, CA",,2024,9,20,5,2024/9/20,OO,California,California,1151,1312,81,18,1330,1429,3,1321,1432,71,0,0,90,80,59,363,SFO,0,ONT,0,0,0,71
2259,"Orlando, FL","Austin, TX",,2024,2,7,3,2024/2/7,DL,Florida,Texas,1145,1132,-13,18,1150,1323,16,1346,1339,-7,0,0,181,187,153,994,MCO,0,AUS,0,0,0,0
1901,"Dallas, TX","Phoenix, AZ",,2024,1,1,1,2024/1/1,WN,Texas,Arizona,1800,1755,-5,9,1804,1919,7,1940,1926,-14,0,0,160,151,135,879,DAL,0,PHX,0,0,0,0
1309,"Sarasota/Bradenton, FL","Newark, NJ",,2024,4,15,1,2024/4/15,UA,Florida,New Jersey,600,554,-6,17,611,843,7,856,850,-6,0,0,176,176,152,1034,SRQ,0,EWR,0,0,0,0
3467,"Seattle, WA","Monterey, CA",,2024,6,10,1,2024/6/10,OO,Washington,California,1055,1051,-4,23,1114,1307,3,1318,1310,-8,0,0,143,139,113,750,SEA,0,MRY,0,0,0,0
