arr_delay,op_carrier_fl_num,origin_state_nm,dest_state_nm,wheels_off,wheels_on,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,crs_dep_time,dep_time,dep_delay,taxi_out,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,origin,dest
-4.0,1100,Tennessee,Texas,1607.0,1741.0,"Nashville, TN","Dallas/Fort Worth, TX",,2024,10,1,2,2024-10-01,AA,1554,1549.0,-5.0,18.0,15.0,1800,1756.0,0,0,126.0,127.0,94.0,631.0,0,0,0,0,0,BNA,DFW
-16.0,284,Florida,Missouri,1004.0,1135.0,"Panama City, FL","St. Louis, MO",,2024,4,4,4,2024-04-04,WN,1000,955.0,-5.0,9.0,4.0,1155,1139.0,0,0,115.0,104.0,91.0,634.0,0,0,0,0,0,ECP,STL
-6.0,638,Massachusetts,Georgia,1736.0,1950.0,"Boston, MA","Atlanta, GA",,2024,9,11,3,2024-09-11,DL,1710,1717.0,7.0,19.0,8.0,2004,1958.0,0,0,174.0,161.0,134.0,946.0,0,0,0,0,0,BOS,ATL
6.0,489,Utah,Michigan,1013.0,1459.0,"Salt Lake City, UT","Detroit, MI",,2024,5,23,4,2024-05-23,DL,940,939.0,-1.0,34.0,16.0,1509,1515.0,0,0,209.0,216.0,166.0,1481.0,0,0,0,0,0,SLC,DTW
-3.0,5314,Virginia,Tennessee,808.0,831.0,"Washington, DC","Nashville, TN",,2024,5,24,5,2024-05-24,OH,743,740.0,-3.0,28.0,6.0,840,837.0,0,0,117.0,117.0,83.0,562.0,0,0,0,0,0,DCA,BNA
2.0,5274,South Carolina,North Carolina,933.0,1004.0,"Greer, SC","Charlotte, NC",,2024,3,29,5,2024-03-29,OH,918,907.0,-11.0,26.0,19.0,1021,1023.0,0,0,63.0,76.0,31.0,75.0,0,0,0,0,0,GSP,CLT
-5.0,2957,Georgia,Texas,846.0,935.0,"Atlanta, GA","Austin, TX",,2024,6,6,4,2024-06-06,DL,825,820.0,-5.0,26.0,6.0,946,941.0,0,0,141.0,141.0,109.0,813.0,0,0,0,0,0,ATL,AUS
-15.0,2280,New Jersey,Florida,1622.0,1848.0,"Newark, NJ","Tampa, FL",,2024,3,15,5,2024-03-15,UA,1603,1600.0,-3.0,22.0,4.0,1907,1852.0,0,0,184.0,172.0,146.0,997.0,0,0,0,0,0,EWR,TPA
56.0,84,Colorado,Nevada,1625.0,1645.0,"Grand Junction, CO","Las Vegas, NV",,2024,2,5,1,2024-02-05,G4,1530,1600.0,30.0,25.0,6.0,1555,1651.0,0,0,85.0,111.0,80.0,420.0,0,0,26,0,30,GJT,LAS
4.0,1076,Florida,Indiana,1305.0,1516.0,"St. Petersburg, FL","South Bend, IN",,2024,3,11,1,2024-03-11,G4,1245,1245.0,0.0,20.0,5.0,1517,1521.0,0,0,152.0,156.0,131.0,973.0,0,0,0,0,0,PIE,SBN
-4.0,2401,Georgia,New Jersey,1104.0,1251.0,"Atlanta, GA","Newark, NJ",,2024,4,23,2,2024-04-23,DL,1051,1045.0,-6.0,19.0,5.0,1300,1256.0,0,0,129.0,131.0,107.0,746.0,0,0,0,0,0,ATL,EWR
-24.0,1844,Florida,Texas,1532.0,1716.0,"West Palm Beach/Palm Beach, FL","Dallas/Fort Worth, TX",,2024,3,30,6,2024-03-30,AA,1531,1521.0,-10.0,11.0,13.0,1753,1729.0,0,0,202.0,188.0,164.0,1102.0,0,0,0,0,0,PBI,DFW
39.0,1514,Illinois,Pennsylvania,1700.0,1934.0,"Chicago, IL","Philadelphia, PA",,2024,1,1,1,2024-01-01,WN,1610,1638.0,28.0,22.0,5.0,1900,1939.0,0,0,110.0,121.0,94.0,668.0,9,0,11,0,19,MDW,PHL
35.0,4887,Indiana,Georgia,1622.0,1904.0,"Evansville, IN","Atlanta, GA",,2024,1,25,4,2024-01-25,9E,1616,1607.0,-9.0,15.0,14.0,1843,1918.0,0,0,87.0,131.0,102.0,350.0,0,0,35,0,0,EVV,ATL
-2.0,5692,Arkansas,Colorado,1153.0,1236.0,"Fayetteville, AR","Denver, CO",,2024,4,16,2,2024-04-16,OO,1135,1132.0,-3.0,21.0,7.0,1245,1243.0,0,0,130.0,131.0,103.0,616.0,0,0,0,0,0,XNA,DEN
-19.0,3188,California,Texas,838.0,1304.0,"Santa Ana, CA","Dallas/Fort Worth, TX",,2024,11,9,6,2024-11-09,AA,830,824.0,-6.0,14.0,11.0,1334,1315.0,0,0,184.0,171.0,146.0,1205.0,0,0,0,0,0,SNA,DFW
95.0,441,Oregon,Florida,1000.0,1822.0,"Portland, OR","Miami, FL",,2024,3,2,6,2024-03-02,AS,910,943.0,33.0,17.0,68.0,1755,1930.0,0,0,345.0,407.0,322.0,2700.0,0,0,95,0,0,PDX,MIA
-16.0,933,California,California,722.0,810.0,"San Jose, CA","Ontario, CA",,2024,12,13,5,2024-12-13,WN,715,711.0,-4.0,11.0,4.0,830,814.0,0,0,75.0,63.0,48.0,333.0,0,0,0,0,0,SJC,ONT
188.0,169,New York,Florida,1915.0,2208.0,"Albany, NY","Orlando, FL",,2024,1,19,5,2024-01-19,WN,1605,1906.0,181.0,9.0,10.0,1910,2218.0,0,0,185.0,192.0,173.0,1073.0,0,0,7,0,181,ALB,MCO
-15.0,1880,Utah,California,1215.0,1248.0,"Salt Lake City, UT","Burbank, CA",,2024,2,15,4,2024-02-15,WN,1210,1201.0,-9.0,14.0,2.0,1305,1250.0,0,0,115.0,109.0,93.0,574.0,0,0,0,0,0,SLC,BUR
-29.0,4672,Colorado,California,1930.0,2031.0,"Denver, CO","Bakersfield, CA",,2024,1,25,4,2024-01-25,OO,1915,1908.0,-7.0,22.0,4.0,2104,2035.0,0,0,169.0,147.0,121.0,845.0,0,0,0,0,0,DEN,BFL
0.0,734,Illinois,Virginia,2016.0,2239.0,"Chicago, IL","Washington, DC",,2024,10,1,2,2024-10-01,UA,1945,1943.0,-2.0,33.0,4.0,2243,2243.0,0,0,118.0,120.0,83.0,612.0,0,0,0,0,0,ORD,DCA
22.0,2980,Minnesota,North Carolina,1508.0,1751.0,"Minneapolis, MN","Asheville, NC",,2024,6,14,5,2024-06-14,DL,1503,1458.0,-5.0,10.0,57.0,1826,1848.0,0,0,143.0,170.0,103.0,861.0,0,0,22,0,0,MSP,AVL
-12.0,3199,Georgia,Mississippi,912.0,908.0,"Atlanta, GA","Gulfport/Biloxi, MS",,2024,6,14,5,2024-06-14,DL,902,858.0,-4.0,14.0,3.0,923,911.0,0,0,81.0,73.0,56.0,352.0,0,0,0,0,0,ATL,GPT
-4.0,2005,Utah,Idaho,1537.0,1621.0,"Salt Lake City, UT","Boise, ID",,2024,9,26,4,2024-09-26,DL,1520,1517.0,-3.0,20.0,4.0,1629,1625.0,0,0,69.0,68.0,44.0,290.0,0,0,0,0,0,SLC,BOI
-20.0,4834,Oklahoma,California,1606.0,1656.0,"Oklahoma City, OK","Los Angeles, CA",,2024,1,26,5,2024-01-26,OO,1600,1557.0,-3.0,9.0,6.0,1722,1702.0,0,0,202.0,185.0,170.0,1187.0,0,0,0,0,0,OKC,LAX
-1.0,4199,Texas,Texas,1322.0,1358.0,"San Antonio, TX","Houston, TX",,2024,6,30,7,2024-06-30,WN,1305,1314.0,9.0,8.0,6.0,1405,1404.0,0,0,60.0,50.0,36.0,192.0,0,0,0,0,0,SAT,HOU
24.0,2731,Minnesota,Washington,2259.0,2329.0,"Minneapolis, MN","Spokane, WA",,2024,2,16,5,2024-02-16,DL,2159,2247.0,48.0,12.0,6.0,2311,2335.0,0,0,192.0,168.0,150.0,1175.0,24,0,0,0,0,MSP,GEG
-10.0,1713,Georgia,Illinois,1758.0,1823.0,"Atlanta, GA","Chicago, IL",,2024,1,23,2,2024-01-23,WN,1750,1745.0,-5.0,13.0,7.0,1840,1830.0,0,0,110.0,105.0,85.0,591.0,0,0,0,0,0,ATL,MDW
117.0,1676,Georgia,Texas,1026.0,1146.0,"Atlanta, GA","San Antonio, TX",,2024,12,13,5,2024-12-13,DL,810,1009.0,119.0,17.0,3.0,952,1149.0,0,0,162.0,160.0,140.0,874.0,117,0,0,0,0,ATL,SAT
88.0,3062,Illinois,Minnesota,2013.0,2124.0,"Chicago, IL","Minneapolis, MN",,2024,6,9,7,2024-06-09,WN,1835,1954.0,79.0,19.0,4.0,2000,2128.0,0,0,85.0,94.0,71.0,349.0,0,0,9,0,79,MDW,MSP
-16.0,1346,Indiana,Texas,1827.0,1914.0,"Indianapolis, IN","Dallas, TX",,2024,4,23,2,2024-04-23,WN,1820,1819.0,-1.0,8.0,5.0,1935,1919.0,0,0,135.0,120.0,107.0,755.0,0,0,0,0,0,IND,DAL
-11.0,2376,Louisiana,Texas,955.0,1055.0,"New Orleans, LA","Houston, TX",,2024,11,12,2,2024-11-12,UA,950,943.0,-7.0,12.0,5.0,1111,1100.0,0,0,81.0,77.0,60.0,305.0,0,0,0,0,0,MSY,IAH
78.0,794,Illinois,Florida,2008.0,2320.0,"Chicago, IL","Orlando, FL",,2024,7,17,3,2024-07-17,NK,1816,1945.0,89.0,23.0,11.0,2213,2331.0,0,0,177.0,166.0,132.0,1005.0,9,0,69,0,0,ORD,MCO
17.0,2492,California,Texas,1125.0,1627.0,"San Francisco, CA","San Antonio, TX",,2024,10,1,2,2024-10-01,UA,1045,1109.0,24.0,16.0,7.0,1617,1634.0,0,0,212.0,205.0,182.0,1482.0,7,0,0,0,10,SFO,SAT
-17.0,5159,Virginia,South Carolina,1712.0,1808.0,"Washington, DC","Myrtle Beach, SC",,2024,6,18,2,2024-06-18,OH,1705,1658.0,-7.0,14.0,16.0,1841,1824.0,0,0,96.0,86.0,56.0,372.0,0,0,0,0,0,DCA,MYR
-5.0,1931,Rhode Island,Tennessee,2127.0,2241.0,"Providence, RI","Nashville, TN",,2024,1,3,3,2024-01-03,G4,2114,2116.0,2.0,11.0,6.0,2252,2247.0,0,0,158.0,151.0,134.0,906.0,0,0,0,0,0,PVD,BNA
-18.0,3126,Florida,Texas,1232.0,1403.0,"Fort Lauderdale, FL","Dallas/Fort Worth, TX",,2024,6,19,3,2024-06-19,NK,1225,1220.0,-5.0,12.0,13.0,1434,1416.0,0,0,189.0,176.0,151.0,1119.0,0,0,0,0,0,FLL,DFW
-8.0,1915,Virginia,Texas,1556.0,1733.0,"Richmond, VA","Dallas/Fort Worth, TX",,2024,9,7,6,2024-09-07,AA,1542,1538.0,-4.0,18.0,19.0,1800,1752.0,0,0,198.0,194.0,157.0,1158.0,0,0,0,0,0,RIC,DFW
-27.0,1708,Illinois,Texas,1422.0,1630.0,"Chicago, IL","Houston, TX",,2024,3,13,3,2024-03-13,WN,1415,1407.0,-8.0,15.0,3.0,1700,1633.0,0,0,165.0,146.0,128.0,917.0,0,0,0,0,0,MDW,IAH
-20.0,240,Texas,Nevada,654.0,712.0,"Dallas, TX","Las Vegas, NV",,2024,8,13,2,2024-08-13,WN,650,644.0,-6.0,10.0,3.0,735,715.0,0,0,165.0,151.0,138.0,1067.0,0,0,0,0,0,DAL,LAS
44.0,1880,Colorado,Nevada,755.0,820.0,"Colorado Springs, CO","Las Vegas, NV",,2024,3,14,4,2024-03-14,WN,640,700.0,20.0,55.0,4.0,740,824.0,0,0,120.0,144.0,85.0,604.0,0,20,24,0,0,COS,LAS
-21.0,540,Georgia,California,1938.0,2109.0,"Atlanta, GA","Oakland, CA",,2024,10,18,5,2024-10-18,DL,1935,1929.0,-6.0,9.0,6.0,2136,2115.0,0,0,301.0,286.0,271.0,2130.0,0,0,0,0,0,ATL,OAK
-15.0,1880,California,North Carolina,738.0,1501.0,"Los Angeles, CA","Raleigh/Durham, NC",,2024,9,7,6,2024-09-07,AA,730,725.0,-5.0,13.0,6.0,1522,1507.0,0,0,292.0,282.0,263.0,2239.0,0,0,0,0,0,LAX,RDU
-2.0,845,Arizona,Nevada,844.0,846.0,"Tucson, AZ","Las Vegas, NV",,2024,2,12,1,2024-02-12,WN,835,829.0,-6.0,15.0,7.0,855,853.0,0,0,80.0,84.0,62.0,365.0,0,0,0,0,0,TUS,LAS
-8.0,1906,California,California,909.0,1021.0,"Sacramento, CA","San Diego, CA",,2024,11,8,5,2024-11-08,WN,900,858.0,-2.0,11.0,6.0,1035,1027.0,0,0,95.0,89.0,72.0,480.0,0,0,0,0,0,SMF,SAN
-22.0,3652,Florida,Alabama,1053.0,1056.0,"Tampa, FL","Birmingham, AL",,2024,9,23,1,2024-09-23,WN,1050,1044.0,-6.0,9.0,2.0,1120,1058.0,0,0,90.0,74.0,63.0,459.0,0,0,0,0,0,TPA,BHM
6.0,6307,Arizona,Arizona,1003.0,1035.0,"Tucson, AZ","Phoenix, AZ",,2024,11,12,2,2024-11-12,OO,942,932.0,-10.0,31.0,10.0,1039,1045.0,0,0,57.0,73.0,32.0,110.0,0,0,0,0,0,TUS,PHX
2.0,677,Florida,Maryland,1433.0,1634.0,"Tampa, FL","Baltimore, MD",,2024,4,25,4,2024-04-25,WN,1415,1426.0,11.0,7.0,3.0,1635,1637.0,0,0,140.0,131.0,121.0,842.0,0,0,0,0,0,TPA,BWI
-1.0,3389,Florida,Florida,1027.0,1104.0,"Tampa, FL","Miami, FL",,2024,2,26,1,2024-02-26,MQ,1006,1004.0,-2.0,23.0,3.0,1108,1107.0,0,0,62.0,63.0,37.0,204.0,0,0,0,0,0,TPA,MIA
-22.0,2505,Pennsylvania,Florida,1452.0,1641.0,"Philadelphia, PA","Orlando, FL",,2024,2,7,3,2024-02-07,F9,1424,1436.0,12.0,16.0,17.0,1720,1658.0,0,0,176.0,142.0,109.0,861.0,0,0,0,0,0,PHL,MCO
-31.0,1142,Florida,Connecticut,812.0,1026.0,"West Palm Beach/Palm Beach, FL","Hartford, CT",,2024,2,19,1,2024-02-19,B6,811,758.0,-13.0,14.0,8.0,1105,1034.0,0,0,174.0,156.0,134.0,1133.0,0,0,0,0,0,PBI,BDL
-16.0,3927,Texas,Missouri,1052.0,1208.0,"Dallas/Fort Worth, TX","St. Louis, MO",,2024,5,10,5,2024-05-10,MQ,1023,1024.0,1.0,28.0,7.0,1231,1215.0,0,0,128.0,111.0,76.0,550.0,0,0,0,0,0,DFW,STL
30.0,65,New York,New Mexico,2123.0,2317.0,"New York, NY","Albuquerque, NM",,2024,6,15,6,2024-06-15,B6,2012,2102.0,50.0,21.0,8.0,2255,2325.0,0,0,283.0,263.0,234.0,1826.0,12,0,0,0,18,JFK,ABQ
-1.0,652,Arizona,South Dakota,806.0,1231.0,"Phoenix, AZ","Sioux Falls, SD",,2024,5,13,1,2024-05-13,G4,800,756.0,-4.0,10.0,5.0,1237,1236.0,0,0,157.0,160.0,145.0,1072.0,0,0,0,0,0,AZA,FSD
-10.0,1834,North Carolina,Florida,755.0,847.0,"Charlotte, NC","Jacksonville, FL",,2024,3,31,7,2024-03-31,AA,741,737.0,-4.0,18.0,5.0,902,852.0,0,0,81.0,75.0,52.0,328.0,0,0,0,0,0,CLT,JAX
11.0,1585,Texas,Florida,1523.0,1755.0,"Houston, TX","Jacksonville, FL",,2024,3,25,1,2024-03-25,WN,1450,1507.0,17.0,16.0,6.0,1750,1801.0,0,0,120.0,114.0,92.0,816.0,0,0,0,0,0,HOU,JAX
33.0,3459,Texas,Texas,2024.0,2134.0,"Harlingen/San Benito, TX","Dallas/Fort Worth, TX",,2024,3,9,6,2024-03-09,MQ,1933,2013.0,40.0,11.0,6.0,2107,2140.0,0,0,94.0,87.0,70.0,461.0,0,0,33,0,0,HRL,DFW
73.0,1076,Florida,Rhode Island,1134.0,1344.0,"Orlando, FL","Providence, RI",,2024,10,16,3,2024-10-16,B6,945,1122.0,97.0,12.0,4.0,1235,1348.0,0,0,170.0,146.0,130.0,1072.0,72,0,0,0,1,MCO,PVD
-11.0,1194,California,California,1657.0,1750.0,"Santa Ana, CA","San Jose, CA",,2024,7,3,3,2024-07-03,WN,1650,1649.0,-1.0,8.0,4.0,1805,1754.0,0,0,75.0,65.0,53.0,342.0,0,0,0,0,0,SNA,SJC
27.0,1802,Texas,Texas,2117.0,2154.0,"Austin, TX","Dallas/Fort Worth, TX",,2024,2,8,4,2024-02-08,AA,2030,2104.0,34.0,13.0,11.0,2138,2205.0,0,0,68.0,61.0,37.0,190.0,27,0,0,0,0,AUS,DFW
-10.0,2776,Kentucky,Florida,720.0,931.0,"Cincinnati, OH","Fort Lauderdale, FL",,2024,8,21,3,2024-08-21,DL,715,710.0,-5.0,10.0,4.0,945,935.0,0,0,150.0,145.0,131.0,932.0,0,0,0,0,0,CVG,FLL
59.0,2283,Florida,Indiana,1657.0,1849.0,"Tampa, FL","Indianapolis, IN",,2024,5,3,5,2024-05-03,WN,1540,1635.0,55.0,22.0,5.0,1755,1854.0,0,0,135.0,139.0,112.0,837.0,50,0,4,0,5,TPA,IND
-14.0,2292,California,Colorado,1324.0,1611.0,"Burbank, CA","Denver, CO",,2024,8,19,1,2024-08-19,UA,1307,1303.0,-4.0,21.0,5.0,1630,1616.0,0,0,143.0,133.0,107.0,850.0,0,0,0,0,0,BUR,DEN
4.0,3340,Tennessee,Illinois,1035.0,1149.0,"Nashville, TN","Chicago, IL",,2024,12,2,1,2024-12-02,MQ,1007,1019.0,12.0,16.0,9.0,1154,1158.0,0,0,107.0,99.0,74.0,409.0,0,0,0,0,0,BNA,ORD
287.0,5192,North Carolina,Kentucky,1830.0,1922.0,"Charlotte, NC","Lexington, KY",,2024,9,28,6,2024-09-28,OH,1313,1806.0,293.0,24.0,5.0,1440,1927.0,0,0,87.0,81.0,52.0,281.0,100,0,0,0,187,CLT,LEX
-19.0,3373,Texas,Arkansas,822.0,912.0,"Dallas/Fort Worth, TX","Little Rock, AR",,2024,3,19,2,2024-03-19,MQ,817,810.0,-7.0,12.0,4.0,935,916.0,0,0,78.0,66.0,50.0,304.0,0,0,0,0,0,DFW,LIT
-6.0,1110,Illinois,Florida,1136.0,1448.0,"Chicago, IL","Orlando, FL",,2024,1,11,4,2024-01-11,WN,1125,1125.0,0.0,11.0,6.0,1500,1454.0,0,0,155.0,149.0,132.0,990.0,0,0,0,0,0,MDW,MCO
-8.0,6200,California,Tennessee,820.0,1357.0,"Burbank, CA","Nashville, TN",,2024,8,4,7,2024-08-04,WN,810,809.0,-1.0,11.0,5.0,1410,1402.0,0,0,240.0,233.0,217.0,1791.0,0,0,0,0,0,BUR,BNA
-15.0,1544,California,Texas,552.0,1042.0,"Sacramento, CA","Dallas/Fort Worth, TX",,2024,10,16,3,2024-10-16,AA,545,541.0,-4.0,11.0,11.0,1108,1053.0,0,0,203.0,192.0,170.0,1431.0,0,0,0,0,0,SMF,DFW
-12.0,1389,Ohio,Colorado,1547.0,1622.0,"Columbus, OH","Denver, CO",,2024,6,17,1,2024-06-17,UA,1534,1528.0,-6.0,19.0,6.0,1640,1628.0,0,0,186.0,180.0,155.0,1154.0,0,0,0,0,0,CMH,DEN
-21.0,71,California,Hawaii,907.0,1110.0,"Long Beach, CA","Kahului, HI",,2024,7,19,5,2024-07-19,HA,900,856.0,-4.0,11.0,9.0,1140,1119.0,0,0,340.0,323.0,303.0,2498.0,0,0,0,0,0,LGB,OGG
82.0,2235,Arizona,Texas,2117.0,3.0,"Phoenix, AZ","Dallas, TX",,2024,1,6,6,2024-01-06,WN,1930,2106.0,96.0,11.0,4.0,2245,7.0,0,0,135.0,121.0,106.0,879.0,2,0,0,0,80,PHX,DAL
-3.0,1100,Texas,Tennessee,1319.0,1449.0,"Dallas/Fort Worth, TX","Nashville, TN",,2024,3,5,2,2024-03-05,AA,1312,1308.0,-4.0,11.0,7.0,1459,1456.0,0,0,107.0,108.0,90.0,631.0,0,0,0,0,0,DFW,BNA
2.0,326,Hawaii,Hawaii,1439.0,1500.0,"Honolulu, HI","Kahului, HI",,2024,10,26,6,2024-10-26,HA,1420,1424.0,4.0,15.0,5.0,1503,1505.0,0,0,43.0,41.0,21.0,100.0,0,0,0,0,0,HNL,OGG
-4.0,3848,Louisiana,Texas,602.0,659.0,"Monroe, LA","Dallas/Fort Worth, TX",,2024,10,21,1,2024-10-21,MQ,550,545.0,-5.0,17.0,20.0,723,719.0,0,0,93.0,94.0,57.0,293.0,0,0,0,0,0,MLU,DFW
-4.0,2289,Florida,California,1716.0,1947.0,"Miami, FL","Los Angeles, CA",,2024,3,13,3,2024-03-13,AA,1700,1657.0,-3.0,19.0,10.0,2001,1957.0,0,0,361.0,360.0,331.0,2342.0,0,0,0,0,0,MIA,LAX
7.0,6226,Nebraska,Colorado,1815.0,1846.0,"Omaha, NE","Denver, CO",,2024,6,1,6,2024-06-01,WN,1805,1805.0,0.0,10.0,6.0,1845,1852.0,0,0,100.0,107.0,91.0,472.0,0,0,0,0,0,OMA,DEN
-10.0,3964,Florida,Florida,1046.0,1138.0,"Jacksonville, FL","Miami, FL",,2024,10,22,2,2024-10-22,MQ,1036,1032.0,-4.0,14.0,5.0,1153,1143.0,0,0,77.0,71.0,52.0,335.0,0,0,0,0,0,JAX,MIA
-18.0,2168,Georgia,Florida,1528.0,1655.0,"Atlanta, GA","Key West, FL",,2024,4,9,2,2024-04-09,DL,1521,1517.0,-4.0,11.0,2.0,1715,1657.0,0,0,114.0,100.0,87.0,646.0,0,0,0,0,0,ATL,EYW
0.0,533,New York,Texas,613.0,825.0,"Syracuse, NY","Dallas/Fort Worth, TX",,2024,4,19,5,2024-04-19,AA,605,601.0,-4.0,12.0,27.0,852,852.0,0,0,227.0,231.0,192.0,1336.0,0,0,0,0,0,SYR,DFW
-6.0,677,California,Washington,1658.0,1841.0,"Sacramento, CA","Seattle, WA",,2024,10,17,4,2024-10-17,AS,1650,1641.0,-9.0,17.0,7.0,1854,1848.0,0,0,124.0,127.0,103.0,605.0,0,0,0,0,0,SMF,SEA
17.0,1700,Florida,Florida,1912.0,1952.0,"Orlando, FL","Miami, FL",,2024,11,13,3,2024-11-13,AA,1852,1849.0,-3.0,23.0,30.0,2005,2022.0,0,0,73.0,93.0,40.0,192.0,0,0,17,0,0,MCO,MIA
28.0,2289,Washington,Arizona,1021.0,1355.0,"Seattle, WA","Tucson, AZ",,2024,1,28,7,2024-01-28,DL,930,958.0,28.0,23.0,7.0,1334,1402.0,0,0,184.0,184.0,154.0,1216.0,28,0,0,0,0,SEA,TUS
-25.0,934,Florida,Connecticut,856.0,1116.0,"Tampa, FL","Hartford, CT",,2024,12,13,5,2024-12-13,B6,900,845.0,-15.0,11.0,5.0,1146,1121.0,0,0,166.0,156.0,140.0,1111.0,0,0,0,0,0,TPA,BDL
-12.0,4708,Colorado,Oregon,1218.0,1324.0,"Denver, CO","Portland, OR",,2024,8,13,2,2024-08-13,WN,1205,1203.0,-2.0,15.0,4.0,1340,1328.0,0,0,155.0,145.0,126.0,991.0,0,0,0,0,0,DEN,PDX
1.0,2794,Nevada,Kentucky,2324.0,541.0,"Las Vegas, NV","Cincinnati, OH",,2024,12,17,2,2024-12-17,DL,2310,2305.0,-5.0,19.0,8.0,548,549.0,0,0,218.0,224.0,197.0,1678.0,0,0,0,0,0,LAS,CVG
-8.0,5091,Virginia,Michigan,1734.0,1852.0,"Washington, DC","Grand Rapids, MI",,2024,9,26,4,2024-09-26,OH,1710,1716.0,6.0,18.0,3.0,1903,1855.0,0,0,113.0,99.0,78.0,524.0,0,0,0,0,0,DCA,GRR
85.0,2478,Pennsylvania,California,2112.0,2318.0,"Pittsburgh, PA","San Francisco, CA",,2024,3,25,1,2024-03-25,UA,1906,2042.0,96.0,30.0,7.0,2200,2325.0,0,0,354.0,343.0,306.0,2254.0,0,0,85,0,0,PIT,SFO
-4.0,4299,Virginia,New York,1058.0,1148.0,"Washington, DC","Rochester, NY",,2024,3,27,3,2024-03-27,YX,1018,1014.0,-4.0,44.0,7.0,1159,1155.0,0,0,101.0,101.0,50.0,296.0,0,0,0,0,0,DCA,ROC
-19.0,400,California,Michigan,2316.0,602.0,"San Francisco, CA","Detroit, MI",,2024,5,18,6,2024-05-18,DL,2255,2259.0,4.0,17.0,9.0,630,611.0,0,0,275.0,252.0,226.0,2079.0,0,0,0,0,0,SFO,DTW
11.0,310,Hawaii,Michigan,1737.0,632.0,"Honolulu, HI","Detroit, MI",,2024,12,4,3,2024-12-04,DL,1655,1648.0,-7.0,49.0,9.0,630,641.0,0,0,515.0,533.0,475.0,4475.0,0,0,0,0,0,HNL,DTW
108.0,814,Georgia,Washington,1802.0,2004.0,"Atlanta, GA","Seattle, WA",,2024,6,27,4,2024-06-27,DL,1630,1633.0,3.0,89.0,38.0,1854,2042.0,0,0,324.0,429.0,302.0,2182.0,0,0,108,0,0,ATL,SEA
63.0,2727,Minnesota,Pennsylvania,2156.0,56.0,"Minneapolis, MN","Philadelphia, PA",,2024,5,9,4,2024-05-09,DL,2033,2148.0,75.0,8.0,6.0,2359,102.0,0,0,146.0,134.0,120.0,980.0,63,0,0,0,0,MSP,PHL
-14.0,2348,Alabama,Georgia,1355.0,1527.0,"Birmingham, AL","Atlanta, GA",,2024,11,30,6,2024-11-30,DL,1343,1336.0,-7.0,19.0,4.0,1545,1531.0,0,0,62.0,55.0,32.0,134.0,0,0,0,0,0,BHM,ATL
-11.0,3240,Montana,Arizona,1411.0,1616.0,"Missoula, MT","Phoenix, AZ",,2024,12,31,2,2024-12-31,G4,1408,1355.0,-13.0,16.0,9.0,1636,1625.0,0,0,148.0,150.0,125.0,948.0,0,0,0,0,0,MSO,AZA
29.0,203,California,North Carolina,918.0,1637.0,"Los Angeles, CA","Charlotte, NC",,2024,7,14,7,2024-07-14,NK,833,855.0,22.0,23.0,9.0,1617,1646.0,0,0,284.0,291.0,259.0,2125.0,0,0,7,0,22,LAX,CLT
-12.0,1895,Texas,Arizona,1014.0,1140.0,"Houston, TX","Phoenix, AZ",,2024,12,12,4,2024-12-12,UA,1000,959.0,-1.0,15.0,7.0,1159,1147.0,0,0,179.0,168.0,146.0,1009.0,0,0,0,0,0,IAH,PHX
-12.0,1640,Georgia,Michigan,2153.0,2312.0,"Atlanta, GA","Detroit, MI",,2024,5,16,4,2024-05-16,DL,2140,2136.0,-4.0,17.0,8.0,2332,2320.0,0,0,112.0,104.0,79.0,594.0,0,0,0,0,0,ATL,DTW
-20.0,4462,New York,Ohio,1720.0,1832.0,"New York, NY","Columbus, OH",,2024,4,29,1,2024-04-29,YX,1705,1705.0,0.0,15.0,6.0,1858,1838.0,0,0,113.0,93.0,72.0,479.0,0,0,0,0,0,LGA,CMH
-6.0,1916,Texas,Wyoming,1028.0,1204.0,"Dallas/Fort Worth, TX","Jackson, WY",,2024,11,27,3,2024-11-27,AA,1015,1012.0,-3.0,16.0,13.0,1223,1217.0,0,0,188.0,185.0,156.0,1047.0,0,0,0,0,0,DFW,JAC
40.0,1274,South Carolina,New York,1945.0,2131.0,"Charleston, SC","New York, NY",,2024,5,8,3,2024-05-08,B6,1856,1846.0,-10.0,59.0,14.0,2105,2145.0,0,0,129.0,179.0,106.0,636.0,0,0,40,0,0,CHS,JFK
-22.0,5655,Massachusetts,Ohio,2049.0,2222.0,"Boston, MA","Cleveland, OH",,2024,10,8,2,2024-10-08,YX,2045,2033.0,-12.0,16.0,8.0,2252,2230.0,0,0,127.0,117.0,93.0,563.0,0,0,0,0,0,BOS,CLE
-6.0,749,Minnesota,Florida,1918.0,2324.0,"Minneapolis, MN","Fort Myers, FL",,2024,2,10,6,2024-02-10,DL,1856,1902.0,6.0,16.0,4.0,2334,2328.0,0,0,218.0,206.0,186.0,1416.0,0,0,0,0,0,MSP,RSW
