arr_delay,op_carrier_fl_num,origin_state_nm,dest_state_nm,wheels_off,wheels_on,origin_city_name,dest_city_name,cancellation_code,year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,crs_dep_time,dep_time,dep_delay,taxi_out,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,origin,dest
-2.0,3438,California,California,843.0,932.0,"Los Angeles, CA","San Jose, CA",,2024,4,19,5,2024-04-19,OO,820,814.0,-6.0,29.0,5.0,939,937.0,0,0,79.0,83.0,49.0,308.0,0,0,0,0,0,LAX,SJC
-23.0,5654,California,California,2244.0,2324.0,"San Francisco, CA","Bakersfield, CA",,2024,2,8,4,2024-02-08,OO,2235,2227.0,-8.0,17.0,3.0,2350,2327.0,0,0,75.0,60.0,40.0,238.0,0,0,0,0,0,SFO,BFL
36.0,1510,Iowa,Texas,1600.0,1736.0,"Des Moines, IA","Austin, TX",,2024,9,19,4,2024-09-19,G4,1501,1548.0,47.0,12.0,7.0,1707,1743.0,0,0,126.0,115.0,96.0,813.0,0,0,0,0,36,DSM,AUS
48.0,2050,Florida,New York,2203.0,20.0,"Miami, FL","New York, NY",,2024,3,28,4,2024-03-28,AA,2039,2115.0,36.0,48.0,5.0,2337,25.0,0,0,178.0,190.0,137.0,1096.0,19,0,12,0,17,MIA,LGA
6.0,1911,Virginia,North Carolina,706.0,758.0,"Richmond, VA","Charlotte, NC",,2024,6,14,5,2024-06-14,AA,635,639.0,4.0,27.0,7.0,759,805.0,0,0,84.0,86.0,52.0,257.0,0,0,0,0,0,RIC,CLT
-27.0,1102,Florida,Tennessee,1917.0,1944.0,"Tampa, FL","Nashville, TN",,2024,10,26,6,2024-10-26,WN,1925,1911.0,-14.0,6.0,4.0,2015,1948.0,0,0,110.0,97.0,87.0,612.0,0,0,0,0,0,TPA,BNA
-18.0,2832,California,Pennsylvania,916.0,1656.0,"Los Angeles, CA","Philadelphia, PA",,2024,8,21,3,2024-08-21,AA,905,903.0,-2.0,13.0,11.0,1725,1707.0,0,0,320.0,304.0,280.0,2402.0,0,0,0,0,0,LAX,PHL
-15.0,2432,South Dakota,Colorado,909.0,924.0,"Sioux Falls, SD","Denver, CO",,2024,3,23,6,2024-03-23,UA,905,859.0,-6.0,10.0,23.0,1002,947.0,0,0,117.0,108.0,75.0,483.0,0,0,0,0,0,FSD,DEN
-24.0,1926,Virginia,Colorado,1624.0,1736.0,"Washington, DC","Denver, CO",,2024,7,21,7,2024-07-21,UA,1610,1612.0,2.0,12.0,14.0,1814,1750.0,0,0,244.0,218.0,192.0,1452.0,0,0,0,0,0,IAD,DEN
-17.0,1101,Colorado,Virginia,812.0,1258.0,"Denver, CO","Washington, DC",,2024,12,18,3,2024-12-18,UA,800,754.0,-6.0,18.0,4.0,1319,1302.0,0,0,199.0,188.0,166.0,1452.0,0,0,0,0,0,DEN,IAD
-12.0,3146,Georgia,Louisiana,1547.0,1554.0,"Atlanta, GA","New Orleans, LA",,2024,10,11,5,2024-10-11,DL,1540,1537.0,-3.0,10.0,6.0,1612,1600.0,0,0,92.0,83.0,67.0,425.0,0,0,0,0,0,ATL,MSY
-10.0,1124,Florida,Maryland,1816.0,2014.0,"Sarasota/Bradenton, FL","Baltimore, MD",,2024,4,12,5,2024-04-12,WN,1810,1806.0,-4.0,10.0,11.0,2035,2025.0,0,0,145.0,139.0,118.0,880.0,0,0,0,0,0,SRQ,BWI
-6.0,4055,Michigan,Nebraska,841.0,926.0,"Detroit, MI","Omaha, NE",,2024,7,24,3,2024-07-24,OO,832,827.0,-5.0,14.0,3.0,935,929.0,0,0,123.0,122.0,105.0,651.0,0,0,0,0,0,DTW,OMA
24.0,2920,Florida,Ohio,1848.0,2054.0,"Tampa, FL","Cleveland, OH",,2024,9,8,7,2024-09-08,F9,1805,1817.0,12.0,31.0,11.0,2041,2105.0,0,0,156.0,168.0,126.0,927.0,12,0,12,0,0,TPA,CLE
-16.0,469,Texas,Illinois,736.0,937.0,"Houston, TX","Chicago, IL",,2024,11,25,1,2024-11-25,UA,720,715.0,-5.0,21.0,9.0,1002,946.0,0,0,162.0,151.0,121.0,925.0,0,0,0,0,0,IAH,ORD
-25.0,461,Texas,New York,610.0,1002.0,"Dallas/Fort Worth, TX","New York, NY",,2024,10,6,7,2024-10-06,DL,600,556.0,-4.0,14.0,5.0,1032,1007.0,0,0,212.0,191.0,172.0,1389.0,0,0,0,0,0,DFW,LGA
-1.0,5581,Illinois,Indiana,1437.0,1608.0,"Chicago, IL","Fort Wayne, IN",,2024,10,7,1,2024-10-07,OO,1405,1358.0,-7.0,39.0,4.0,1613,1612.0,0,0,68.0,74.0,31.0,157.0,0,0,0,0,0,ORD,FWA
-31.0,1576,Rhode Island,North Carolina,1006.0,1148.0,"Providence, RI","Charlotte, NC",,2024,2,8,4,2024-02-08,AA,1004,957.0,-7.0,9.0,7.0,1226,1155.0,0,0,142.0,118.0,102.0,683.0,0,0,0,0,0,PVD,CLT
43.0,4108,California,New Mexico,941.0,1205.0,"Los Angeles, CA","Albuquerque, NM",,2024,9,21,6,2024-09-21,OO,829,918.0,49.0,23.0,8.0,1130,1213.0,0,0,121.0,115.0,84.0,677.0,43,0,0,0,0,LAX,ABQ
-13.0,2107,Minnesota,California,1825.0,1956.0,"Minneapolis, MN","Santa Ana, CA",,2024,6,30,7,2024-06-30,DL,1815,1811.0,-4.0,14.0,5.0,2014,2001.0,0,0,239.0,230.0,211.0,1522.0,0,0,0,0,0,MSP,SNA
105.0,2532,Florida,Colorado,1832.0,1948.0,"Orlando, FL","Denver, CO",,2024,7,28,7,2024-07-28,WN,1600,1815.0,135.0,17.0,7.0,1810,1955.0,0,0,250.0,220.0,196.0,1546.0,0,105,0,0,0,MCO,DEN
-11.0,1565,Texas,Texas,1208.0,1320.0,"Harlingen/San Benito, TX","Dallas, TX",,2024,11,20,3,2024-11-20,WN,1200,1200.0,0.0,8.0,4.0,1335,1324.0,0,0,95.0,84.0,72.0,458.0,0,0,0,0,0,HRL,DAL
-11.0,1872,Illinois,New Jersey,717.0,948.0,"Chicago, IL","Newark, NJ",,2024,9,3,2,2024-09-03,AA,704,659.0,-5.0,18.0,11.0,1010,959.0,0,0,126.0,120.0,91.0,719.0,0,0,0,0,0,ORD,EWR
78.0,2584,Texas,Florida,2223.0,103.0,"Houston, TX","Jacksonville, FL",,2024,12,21,6,2024-12-21,WN,2050,2213.0,83.0,10.0,5.0,2350,108.0,0,0,120.0,115.0,100.0,816.0,14,0,0,0,64,HOU,JAX
6.0,2868,Michigan,Missouri,904.0,921.0,"Detroit, MI","St. Louis, MO",,2024,5,9,4,2024-05-09,DL,840,843.0,3.0,21.0,4.0,919,925.0,0,0,99.0,102.0,77.0,440.0,0,0,0,0,0,DTW,STL
-19.0,751,North Carolina,Washington,1709.0,1912.0,"Charlotte, NC","Seattle, WA",,2024,1,4,4,2024-01-04,AA,1641,1656.0,15.0,13.0,9.0,1940,1921.0,0,0,359.0,325.0,303.0,2279.0,0,0,0,0,0,CLT,SEA
-10.0,3909,Indiana,Texas,1219.0,1319.0,"Fort Wayne, IN","Dallas/Fort Worth, TX",,2024,7,22,1,2024-07-22,MQ,1214,1207.0,-7.0,12.0,17.0,1346,1336.0,0,0,152.0,149.0,120.0,859.0,0,0,0,0,0,FWA,DFW
8.0,700,Washington,Arizona,1226.0,1546.0,"Seattle, WA","Phoenix, AZ",,2024,3,3,7,2024-03-03,AS,1148,1201.0,13.0,25.0,4.0,1542,1550.0,0,0,174.0,169.0,140.0,1107.0,0,0,0,0,0,SEA,PHX
-31.0,2878,Florida,Virginia,809.0,1003.0,"Miami, FL","Washington, DC",,2024,10,15,2,2024-10-15,AA,803,758.0,-5.0,11.0,3.0,1037,1006.0,0,0,154.0,128.0,114.0,919.0,0,0,0,0,0,MIA,DCA
-10.0,2720,Florida,Pennsylvania,1302.0,1513.0,"West Palm Beach/Palm Beach, FL","Philadelphia, PA",,2024,11,22,5,2024-11-22,F9,1253,1247.0,-6.0,15.0,12.0,1535,1525.0,0,0,162.0,158.0,131.0,951.0,0,0,0,0,0,PBI,PHL
-34.0,2093,California,Texas,1027.0,1501.0,"San Francisco, CA","Dallas/Fort Worth, TX",,2024,2,26,1,2024-02-26,AA,1019,1015.0,-4.0,12.0,11.0,1546,1512.0,0,0,207.0,177.0,154.0,1464.0,0,0,0,0,0,SFO,DFW
37.0,1190,California,New York,2149.0,559.0,"San Diego, CA","New York, NY",,2024,3,18,1,2024-03-18,B6,2115,2128.0,13.0,21.0,12.0,534,611.0,0,0,319.0,343.0,310.0,2446.0,13,0,24,0,0,SAN,JFK
-23.0,4724,California,California,617.0,702.0,"Bakersfield, CA","San Francisco, CA",,2024,11,16,6,2024-11-16,OO,615,607.0,-8.0,10.0,5.0,730,707.0,0,0,75.0,60.0,45.0,238.0,0,0,0,0,0,BFL,SFO
33.0,2485,New York,Illinois,1708.0,1815.0,"New York, NY","Chicago, IL",,2024,10,13,7,2024-10-13,UA,1634,1630.0,-4.0,38.0,28.0,1810,1843.0,0,0,156.0,193.0,127.0,733.0,0,0,33,0,0,LGA,ORD
-9.0,894,California,California,924.0,1026.0,"Sacramento, CA","Long Beach, CA",,2024,10,14,1,2024-10-14,WN,915,914.0,-1.0,10.0,5.0,1040,1031.0,0,0,85.0,77.0,62.0,387.0,0,0,0,0,0,SMF,LGB
-13.0,2376,California,Utah,1332.0,1548.0,"Sacramento, CA","Salt Lake City, UT",,2024,1,1,1,2024-01-01,DL,1320,1317.0,-3.0,15.0,3.0,1604,1551.0,0,0,104.0,94.0,76.0,532.0,0,0,0,0,0,SMF,SLC
-20.0,61,Alaska,Alaska,1012.0,1047.0,"Juneau, AK","Yakutat, AK",,2024,11,21,4,2024-11-21,AS,1008,1003.0,-5.0,9.0,3.0,1110,1050.0,0,0,62.0,47.0,35.0,198.0,0,0,0,0,0,JNU,YAK
-1.0,124,North Carolina,Virginia,712.0,752.0,"Raleigh/Durham, NC","Washington, DC",,2024,5,17,5,2024-05-17,AA,655,659.0,4.0,13.0,6.0,759,758.0,0,0,64.0,59.0,40.0,227.0,0,0,0,0,0,RDU,DCA
-12.0,2682,California,Colorado,1350.0,1638.0,"Ontario, CA","Denver, CO",,2024,4,21,7,2024-04-21,UA,1336,1336.0,0.0,14.0,6.0,1656,1644.0,0,0,140.0,128.0,108.0,819.0,0,0,0,0,0,ONT,DEN
-15.0,4052,Georgia,Alabama,1258.0,1229.0,"Atlanta, GA","Dothan, AL",,2024,8,31,6,2024-08-31,OO,1250,1244.0,-6.0,14.0,3.0,1247,1232.0,0,0,57.0,48.0,31.0,170.0,0,0,0,0,0,ATL,DHN
18.0,468,Texas,Nevada,1745.0,1807.0,"Dallas/Fort Worth, TX","Las Vegas, NV",,2024,4,22,1,2024-04-22,AA,1656,1726.0,30.0,19.0,7.0,1756,1814.0,0,0,180.0,168.0,142.0,1055.0,0,0,0,0,18,DFW,LAS
0.0,3790,Washington,Washington,733.0,826.0,"Spokane, WA","Seattle, WA",,2024,8,28,3,2024-08-28,OO,715,706.0,-9.0,27.0,8.0,834,834.0,0,0,79.0,88.0,53.0,224.0,0,0,0,0,0,GEG,SEA
24.0,2656,New York,Illinois,1722.0,1803.0,"Albany, NY","Chicago, IL",,2024,9,19,4,2024-09-19,UA,1655,1648.0,-7.0,34.0,41.0,1820,1844.0,0,0,145.0,176.0,101.0,723.0,0,0,24,0,0,ALB,ORD
-15.0,187,Texas,California,1854.0,1927.0,"Dallas/Fort Worth, TX","Los Angeles, CA",,2024,6,26,3,2024-06-26,AA,1833,1833.0,0.0,21.0,8.0,1950,1935.0,0,0,197.0,182.0,153.0,1235.0,0,0,0,0,0,DFW,LAX
-18.0,466,Tennessee,Illinois,1652.0,1802.0,"Nashville, TN","Chicago, IL",,2024,1,29,1,2024-01-29,UA,1650,1636.0,-14.0,16.0,21.0,1841,1823.0,0,0,111.0,107.0,70.0,409.0,0,0,0,0,0,BNA,ORD
-9.0,1375,Arizona,New Jersey,37.0,727.0,"Phoenix, AZ","Newark, NJ",,2024,9,22,7,2024-09-22,UA,2359,20.0,21.0,17.0,11.0,747,738.0,0,0,288.0,258.0,230.0,2133.0,0,0,0,0,0,PHX,EWR
-10.0,4158,California,Nevada,1057.0,1212.0,"San Francisco, CA","Las Vegas, NV",,2024,12,7,6,2024-12-07,F9,1053,1043.0,-10.0,14.0,12.0,1234,1224.0,0,0,101.0,101.0,75.0,414.0,0,0,0,0,0,SFO,LAS
180.0,950,Tennessee,Illinois,2019.0,2128.0,"Memphis, TN","Chicago, IL",,2024,5,30,4,2024-05-30,WN,1655,2010.0,195.0,9.0,2.0,1830,2130.0,0,0,95.0,80.0,69.0,480.0,4,0,0,0,176,MEM,MDW
18.0,4777,Florida,Ohio,2125.0,2343.0,"Fort Lauderdale, FL","Columbus, OH",,2024,3,16,6,2024-03-16,WN,2050,2113.0,23.0,12.0,5.0,2330,2348.0,0,0,160.0,155.0,138.0,973.0,2,0,0,0,16,FLL,CMH
-8.0,3706,Texas,Texas,815.0,849.0,"Abilene, TX","Dallas/Fort Worth, TX",,2024,11,20,3,2024-11-20,MQ,815,805.0,-10.0,10.0,15.0,912,904.0,0,0,57.0,59.0,34.0,158.0,0,0,0,0,0,ABI,DFW
-15.0,986,Utah,Georgia,1750.0,2253.0,"Salt Lake City, UT","Atlanta, GA",,2024,3,5,2,2024-03-05,DL,1740,1739.0,-1.0,11.0,9.0,2317,2302.0,0,0,217.0,203.0,183.0,1590.0,0,0,0,0,0,SLC,ATL
39.0,4653,New Jersey,Florida,1836.0,2046.0,"Trenton, NJ","Tampa, FL",,2024,1,21,7,2024-01-21,F9,1718,1815.0,57.0,21.0,7.0,2014,2053.0,0,0,176.0,158.0,130.0,955.0,0,0,0,0,39,TTN,TPA
-11.0,1569,Arizona,Ohio,923.0,1527.0,"Phoenix, AZ","Columbus, OH",,2024,5,20,1,2024-05-20,AA,858,902.0,4.0,21.0,7.0,1545,1534.0,0,0,227.0,212.0,184.0,1670.0,0,0,0,0,0,PHX,CMH
-17.0,2730,Indiana,Colorado,1603.0,1614.0,"Indianapolis, IN","Denver, CO",,2024,8,7,3,2024-08-07,UA,1545,1545.0,0.0,18.0,6.0,1637,1620.0,0,0,172.0,155.0,131.0,977.0,0,0,0,0,0,IND,DEN
-32.0,1039,Maine,North Carolina,1010.0,1144.0,"Portland, ME","Raleigh/Durham, NC",,2024,7,4,4,2024-07-04,F9,1014,956.0,-18.0,14.0,7.0,1223,1151.0,0,0,129.0,115.0,94.0,700.0,0,0,0,0,0,PWM,RDU
-8.0,6193,Texas,Texas,922.0,942.0,"Dallas/Fort Worth, TX","Waco, TX",,2024,9,14,6,2024-09-14,OO,905,900.0,-5.0,22.0,4.0,954,946.0,0,0,49.0,46.0,20.0,89.0,0,0,0,0,0,DFW,ACT
2.0,5307,Colorado,Texas,1923.0,2148.0,"Denver, CO","Midland/Odessa, TX",,2024,6,16,7,2024-06-16,OO,1900,1850.0,-10.0,33.0,6.0,2152,2154.0,0,0,112.0,124.0,85.0,563.0,0,0,0,0,0,DEN,MAF
